"","X1","X2","X4","X6","X8","NRM","UPC","INDEPENDENT","FDC","UFA","DP","PPP","SDP","JEEMA","PDP","CP","LDT","W","NA"
"1",1,"APAC","KWANIA COUNTY","ADUKU","ADYEDA","193 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"APAC","KWANIA COUNTY","ADUKU","ADYEDA",NA,"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"APAC","KWANIA COUNTY","ADUKU","ALIRA",NA,"631 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"APAC","KWANIA COUNTY","ADUKU","ALIRA","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"APAC","KWANIA COUNTY","ADUKU","ONGOCENG",NA,NA,"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"APAC","KWANIA COUNTY","ADUKU","ONGOCENG","258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"APAC","KWANIA COUNTY","ADUKU","ONGOCENG",NA,"359 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"APAC","KWANIA COUNTY","ADUKU","ABOKO",NA,"753 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"APAC","KWANIA COUNTY","ADUKU","ABOKO","741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"APAC","KWANIA COUNTY","ADUKU","APIRE","407 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"APAC","KWANIA COUNTY","ADUKU","APIRE",NA,"395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"APAC","KWANIA COUNTY","CAWENTE","ATONGTIDI",NA,NA,"546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"APAC","KWANIA COUNTY","CAWENTE","ATONGTIDI","271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"APAC","KWANIA COUNTY","CAWENTE","ATONGTIDI",NA,"604 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"APAC","KWANIA COUNTY","CAWENTE","ACENLWORO","272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"APAC","KWANIA COUNTY","CAWENTE","ACENLWORO",NA,"517 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"APAC","KWANIA COUNTY","CAWENTE","ATULE",NA,"517 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"APAC","KWANIA COUNTY","CAWENTE","ATULE","283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"APAC","KWANIA COUNTY","CAWENTE","ALIDO","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"APAC","KWANIA COUNTY","CAWENTE","ALIDO",NA,"432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"APAC","KWANIA COUNTY","CAWENTE","ALIDO",NA,NA,NA,"459 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"APAC","KWANIA COUNTY","CAWENTE","AJAR","382 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"APAC","KWANIA COUNTY","CAWENTE","AJAR",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"APAC","KWANIA COUNTY","CAWENTE","AJAR",NA,NA,"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"APAC","KWANIA COUNTY","INOMO","AGWICIRI",NA,"512 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"APAC","KWANIA COUNTY","INOMO","AGWICIRI","373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"APAC","KWANIA COUNTY","INOMO","ABEDMOT","432 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"APAC","KWANIA COUNTY","INOMO","ABEDMOT",NA,"394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"APAC","KWANIA COUNTY","INOMO","AJOK","476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"APAC","KWANIA COUNTY","INOMO","AJOK",NA,"697 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"APAC","KWANIA COUNTY","INOMO","INOMO",NA,"375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"APAC","KWANIA COUNTY","INOMO","INOMO","487 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"APAC","KWANIA COUNTY","INOMO","ALUKA","232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"APAC","KWANIA COUNTY","INOMO","ALUKA",NA,"326 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"APAC","KWANIA COUNTY","NAMBIESO","OWINY","411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"APAC","KWANIA COUNTY","NAMBIESO","OWINY",NA,"415 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"APAC","KWANIA COUNTY","NAMBIESO","AYABI",NA,NA,NA,"495 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"APAC","KWANIA COUNTY","NAMBIESO","AYABI","363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"APAC","KWANIA COUNTY","NAMBIESO","AORNGA",NA,"411 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"APAC","KWANIA COUNTY","NAMBIESO","AORNGA","377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"APAC","KWANIA COUNTY","NAMBIESO","ANWANGI",NA,"455 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"APAC","KWANIA COUNTY","NAMBIESO","ANWANGI",NA,NA,"347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"APAC","KWANIA COUNTY","NAMBIESO","ANWANGI","291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"APAC","KWANIA COUNTY","NAMBIESO","ABULI",NA,"397 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"APAC","KWANIA COUNTY","NAMBIESO","ABULI",NA,NA,"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"APAC","KWANIA COUNTY","NAMBIESO","ABULI","223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"APAC","KWANIA COUNTY","NAMBIESO","BUNG",NA,"432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"APAC","KWANIA COUNTY","NAMBIESO","BUNG","525 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"APAC","KWANIA COUNTY","NAMBIESO","ACABA",NA,"463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"APAC","KWANIA COUNTY","NAMBIESO","ACABA","468 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"APAC","KWANIA COUNTY","NAMBIESO","PUNUATAR",NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"APAC","KWANIA COUNTY","NAMBIESO","PUNUATAR",NA,"223 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"APAC","KWANIA COUNTY","NAMBIESO","PUNUATAR","144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"APAC","KWANIA COUNTY","NAMBIESO","OGWIL",NA,NA,NA,"220 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"APAC","KWANIA COUNTY","NAMBIESO","OGWIL","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"APAC","KWANIA COUNTY","ABONGOMOLA","AKALI",NA,"460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"APAC","KWANIA COUNTY","ABONGOMOLA","AKALI","497 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"APAC","KWANIA COUNTY","ABONGOMOLA","ABWONG","463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"APAC","KWANIA COUNTY","ABONGOMOLA","ABWONG",NA,"511 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"APAC","KWANIA COUNTY","ABONGOMOLA","ACUNGI",NA,"399 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"APAC","KWANIA COUNTY","ABONGOMOLA","ACUNGI","213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"APAC","KWANIA COUNTY","ABONGOMOLA","ACUNGI",NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"APAC","KWANIA COUNTY","ABONGOMOLA","ACUNGI",NA,NA,"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"APAC","KWANIA COUNTY","ABONGOMOLA","ABANY",NA,NA,"407 Winner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"APAC","KWANIA COUNTY","ABONGOMOLA","ABANY","389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,"APAC","KWANIA COUNTY","ABONGOMOLA","ABANY",NA,NA,NA,"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"APAC","KWANIA COUNTY","ABONGOMOLA","ABANY",NA,"278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
