"","SIGLA_UF","NOME_MUNICIPIO","SIGLA_PARTIDO","NOME_PARTIDO","QTDE_VOTOS_NOMINAIS","leftist_party","date"
"1","AC","MÂNCIO LIMA","PP","PARTIDO PROGRESSISTA",2185,0,"2012-10-07"
"2","AC","ACRELÂNDIA","PP","PARTIDO PROGRESSISTA",704,0,"2012-10-07"
"3","AC","RODRIGUES ALVES","PT","PARTIDO DOS TRABALHADORES",2529,1,"2012-10-07"
"4","AC","RIO BRANCO","PT","PARTIDO DOS TRABALHADORES",32417,1,"2012-10-07"
"5","AC","CAPIXABA","PTB","PARTIDO TRABALHISTA BRASILEIRO",1154,0,"2012-10-07"
"6","AC","RIO BRANCO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",2719,0,"2012-10-07"
"7","AC","RIO BRANCO","PSC","PARTIDO SOCIAL CRISTÃO",1206,0,"2012-10-07"
"8","AC","RIO BRANCO","PSC","PARTIDO SOCIAL CRISTÃO",957,0,"2012-10-07"
"9","AC","MANOEL URBANO","DEM","DEMOCRATAS",1876,0,"2012-10-07"
"10","AC","XAPURI","PSB","PARTIDO SOCIALISTA BRASILEIRO",783,1,"2012-10-07"
"11","AC","PLÁCIDO DE CASTRO","PSB","PARTIDO SOCIALISTA BRASILEIRO",5772,1,"2012-10-07"
"12","AC","EPITACIOLÂNDIA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",3180,0,"2012-10-07"
"13","AC","RIO BRANCO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",24935,0,"2012-10-07"
"14","AC","XAPURI","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",4203,0,"2012-10-07"
"15","AC","ASSIS BRASIL","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",2527,0,"2012-10-07"
"16","AC","ACRELÂNDIA","PSD","PARTIDO SOCIAL DEMOCRÁTICO",382,0,"2012-10-07"
"17","AC","BRASILÉIA","PT","PARTIDO DOS TRABALHADORES",5561,1,"2012-10-07"
"18","AC","ASSIS BRASIL","PT","PARTIDO DOS TRABALHADORES",1723,1,"2012-10-07"
"19","AC","PORTO WALTER","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",2818,0,"2012-10-07"
"20","AC","RIO BRANCO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",2721,0,"2012-10-07"
"21","AC","CAPIXABA","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",162,1,"2012-10-07"
"22","AC","RIO BRANCO","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",366,1,"2012-10-07"
"23","AC","PORTO ACRE","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",4698,0,"2012-10-07"
"24","AC","SENADOR GUIOMARD","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",6191,0,"2012-10-07"
"25","AC","RIO BRANCO","PSOL","PARTIDO SOCIALISMO E LIBERDADE",343,1,"2012-10-07"
"26","AC","EPITACIOLÂNDIA","PSD","PARTIDO SOCIAL DEMOCRÁTICO",359,0,"2012-10-07"
"27","AC","JORDÃO","PC DO B","PARTIDO COMUNISTA DO BRASIL",1585,0,"2012-10-07"
"28","AC","BUJARI","PT","PARTIDO DOS TRABALHADORES",2005,1,"2012-10-07"
"29","AC","MARECHAL THAUMATURGO","PT","PARTIDO DOS TRABALHADORES",4095,1,"2012-10-07"
"30","AC","EPITACIOLÂNDIA","PT","PARTIDO DOS TRABALHADORES",2373,1,"2012-10-07"
